Initiation au bwiti.	Abandji
laisse refroidir l'eau.	Aningo mi ga vónere
il faut que l'eau se refroidisse.	Aningo mi ga vónere
lotionner quel­qu'un	Bola oma aningo
laver quel­qu'un	Bola oma aningo
nettoyer quel­qu'un	Bola oma aningo
lotionner quelqu'un	Tèwa oma aningo
laver quelqu'un	Tèwa oma aningo
nettoyer quelqu'un	Tèwa oma aningo
Arbre de la forêt dont le tronc laisse échapper une sève abondante quand on le coupe.	Aningo-nangilya
Anisette.	Anisawè
une bar­rique d'anisette.	Orèga w'anisawè
Seul.	Anka
Seul	Ankankye
je suis venu tout seul.	My'abya myè anka
nous sommes seuls.	Azw'areazw'anka
Ogoula n'a pas de femme, il vit seul.	Ogula azele n'om̂wanto, are ankankye
Rôti	Ankange
frit.	Ankange
des bananes douces frites.	Atótó ankange
Avant de	Anó
avant que	Anó
sans que.	Anó
je ne mourrai pas sans avoir vu la France.	My'ayuwe my'anó dyene ntche yi Fala
on ne prepare pas un séchoir avant d'avoir tué un éléphant.	Orala awom̂o, anódyuwe ndjógu
Il ne faut jamais vendre la peau de l'ours avant de l'avoir mis à terre.	Orala awom̂o, anódyuwe ndjógu
un chien n'entre pas dans une case sans avoir vu os.	Mbwa ayingine go nago ṉawè-ṉawè, anó dyen'epa
Chacun prend son plaisir où il le trouve.	Mbwa ayingine go nago ṉawè-ṉawè, anó dyen'epa
Les hommes	Anom̂e
Les mâles	Anom̂e
vous êtes vraiment des hommes.	Anwè anom̂e rèti !
Mâle.	Anom̂e
des canards.	Azógè anom̂e
Allons, courage !	Anom̂e i yè !
Soyez des hommes !	Anom̂e i yè !
Oui !	Yè !
Des hommes comme il faut.	Anom̂'anom̂ye
Sperme.	Anom̂yè
Les nations barbares	Anóngó
Les nations barbares	Anóngóm̂a
les nations civilisées	Ayogo
Surnom du poisson de mer èmama.	Ano-n'ogèlè
Larmes.	Antchóni
verser des larmes.	Dyir'antȼóni
verser des larmes.	Sony'antȼónî
celui-ci pleure, celui-ci pleure, ils ne s'essuieront pas les larmes	Winó e dena, winó e dena, w'azizane antchóni
La douleur de l'un n'enlève pas la douleur de l'autre.	Winó e dena, winó e dena, w'azizane antchóni
Sommeil.	Antchovinó
il dort.	Are g'antchóvinó
avoir sommeil.	Koto n'antchóvinó
dormir.	Nan'antchóvinó
faire la sieste	Tomb'antchóvinó
dormir un peu.	Tomb'antchóvinó
être plongé dans le sommeil.	Kakwa g'antchóvinó
se réveiller.	Nóngwa g'antchóvinó
dormir mal	Dyuf'antchóvinó
dormir très peu.	Dyuf'antchóvinó
un profond sommeil.	Evinó z'antchovinó
un sommeil de plomb,	Antchóvinó m'eziwo
un sommeil d'antilope	Antchóvinó m'eziwo
antilope	eziwo
Maladie du sommeil	Nkani y'antȼóvinó
trypanose.	Nkani y'antȼóvinó
Les femmes.	Anto
Femelle.	Anto
des canes.	Azógè anto
Lames de fond	Antombina
houle.	Antombina
la mer est houleuse.	Mbene yi re antombina
Taches	Antónya
mouchetures	Antónya
des taches blanches	Antónya ma pupu
des taches noires.	Antónya ma vyóvyó
les taches du leopard	Antónya mi ndjègó
les mouchetures du python.	Antónya m'ombóm̂a
le léopard trouva des mouchetures en supportant l'attente.	Ndjègó alèngi antónya ni sindin'olwano
Tout va bien à qui sait attendre.	Ndjègó alèngi antónya ni sindin'olwano
Des femmes comme il faut.	Antw'antwe
Les descendants	Anum̂anyè
la postérité	Anum̂anyè
Les descendants	Anum̂yè
la postérité.	Anum̂yè
Les derniers.	Anum̂una
Dernier.	Anum̂una
lès dernières paroles.	Agamba'anum̂una
Petit passereau à livrée noire, variée de blanc et de jaune.	Anurè
Vous.	Anwè
vous êtes devenus paresseux.	Anw'atweni agera
vous autres, venez ici.	Anwè, yogoni gunu
êtes-vous des Sékés ou des Akèlès ?	Anwè Asekyani, mbè Akèlè ?
aimez-vous les uns les autres.	Rondanani anwè n'anwè
vous deux.	Anwè awani
vous-mêmes.	Anwème
Court	Ape
petit.	Ape
les Pygmées sont de petits hommes.	Akowa wi re anag'ape
de courtes ficelles.	Agóndji ape
Etre au passé.	Apegaga
j'étais chez les Enengas.	My'apegaga g'Enenga
vous étiez au lac Azingo.	Anw'apegag g'Azingo
Différence	Apekwa
désaccord.	Apekwa
tes habitudes sont différentes des miennes.	Intchale só n'isami si re apekwa
Malentendu.	Apekwa
il y a eu malentendu.	Osam̂u mèwónó w'adwana apekwa
Probablement	Apenda polo
bien plus.	Apenda polo
je vais actuellement à Eloby; il est possible que j'aille jusqu'à Bata.	Mi kènda vónó g'Elowi, apenda polo mi be bom̂wa go Bata
il mourra probablement là-bas.	Apenda polo, e be dyuwa gogo
il est probable qu'il mourra là-bas.	Apenda polo, e be dyuwa gogo
certains parents laissent leurs enfants voler; bien plus eux-mêmes les poussent à commettre ces vols.	Abota awèwó wi sendjaga awan'iwao go dyufa; apenda polo waomè wao fe nuginyaga wao g'idyufa mèsónó
Très court	Apepye
très petit.	Apepye
des hommes très petits.	Anom̂e apepye
Tribu de la Haute-Ngouniè, apparentée aux Okandès du Haut-Ogowè.	Apïndji
Autre tribu de la Haute-Ngouniè dont la langue se rapproche de l'eshira.	Apono
Gale de tête	Apote
teigne.	Apote
cet enfant a la tête pleine de gale.	Om̂wa mèwónó are n'apote
Tribu de la Guinée espagnole apparenfée aux Bengas.	Apuku
Copule personnelle.	Aranga
Ce n'est pas	Aranga
ce n'est pas moi.	Aranga myè
ce n'est pas toi.	aranga awè
le couteau n'est pas à toi.	Swaka arang'iyo
cette pirogue n'est pas à vous.	Owaro winó arang'iwani
ce n'est pas que je mente	Aranga nè mi noka
ce n'est pas que je mente	Aranga sinoka
ce n'est pas un mensonge.	Aranga nè mi noka
ce n'est pas un mensonge.	Aranga sinoka
sans blague	Arang'itu
blague à part.	Arang'itu
tu n'es pas un Mpongwè.	Awè aranga om̂wo-Mpongwè
ce n'est pas aujourd'hui qu'il y aura quelque chose, ce sera demain.	Osam̂u ga nèno, osam̂u ni mènó
Il faut penser au lendemain.	Osam̂u ga nèno, osam̂u ni mènó
cet homme est très gourmand	Ga ṉeni mbya yi re n'oma mèwónó
ce n'est une bonne manière de manger qui est avec cet homme.	Ga ṉeni mbya yi re n'oma mèwónó
Trois.	Araro
trois pierres.	Ado araro
rente pagaïes.	Agom̂i m'inkavi araro
Poison.	Are
avaler du poison.	Dyónga are
avaler du poison	Mena are
un contre-poison.	Ńango yi dyóne ngulu y'are
cacheter une lettre.	Fel'are g'ezango
être.	Are
je suis.	My'are
il est dans la forêt.	Are g'iga
vous êtes sur la plage.	Anw'are g'ozègè
j'ai volé.	My'are dyufapa
ma mère est allée dans la forêt.	Ng'iyam̂i are kènda-pa g'iga
Devoir	Are go
falloir	Are go
je dois parler	My'are go kamba
il faut que je parle.	My'are go kamba
Croire	Are
penser	Are
Avoir dans l'idée	Are
vous devez faire ce travail.	Anw'are go dyandja ewilo mèzónó
je croyais que tu étais parti, et tu es encore là.	My'are vónó nè om̂'akèndi, sambo we o par gunu
a failli	Are
a failli	Aro
Ndinga a failli mourir hier	Ndinga are dyuwi dyao
Si c'était	Are nè
si	Are nè
Si c'était	Arwe nè
si	Arwe nè
si c'était un autre homme, je ne lui aurais pas donné ce couteau.	Arwe ne omom̂wènè, mi to' p'èswaka mèyóno
s'il m'avait vu, il se serait fâché.	Arwè nè adyena myè, ato benda
si c'était moi.	Arwe myè
si c'était moi	Arwe nè myè
si tu allais là, si tu allais là-bas, je t'aurais donné une commission.	Arwe nè o kènda gogo ; my'ato p'ó agonda
si j'étais parti.	Arwe nè my'agende
si j'étais parti.	My'agènde
s'il m'avait vu.	Arwe nè ayene myè
s'il m'avait vu.	Ayene myè
Pendeloques de feuilles de raphia	Arèrè
préparer ces pendeloques de raphia.	Dyolun'arèrè
la brise	Arèrè
nous aurons la brise.	Azwè be dèng'arèrè
la brise souffle.	Arèrè m'aposwi
Epilepsie	Aret'obota
haut-mal.	Aret'obota
épilepsie	Nkani y'aret'obota
Pur	Arevo
sans mélange	Arevo
seul.	Arevo
nous ne voulons que de l'eau.	Azwè bela aningo arevo
il n'y a que des Noirs dans cette pirogue.	Owaro wi re Anómbè arevo
Héritage	Ariga
ce qui reste.	Ariga
l'héritage du chef Dowé.	Ariga mi Rè-Dowe
ce qu'a laissé le défunt.	Ariga m'oma wi re dyuwa-pa
une plantation laissée en héritage.	Ntchaga y'ariga; edinga z'ariga
Dernières pluies avant la saison sèche.	Arig'igondja
Variété de Palmier-raphia des collines forestières	Arïma
Maladie grave	Arimba
Nom métaphorique du Soleil.	Arimbi
le soleil	Arimbi
quand le soleil sera descendu derrière les arbres	Dyógó Arimbi apunda g'agondjo
En arrière	Arindi
sur ses pas.	Arindi
revenir en arrière.	Finya arindi
reviens sur ses pas.	Arindi ! arindi ! wé ! Hé ! hé !
La Terre	Aróï
le globe terrestre	Aróï
l'igname a pris la ressemblance de la terre	Móngó akóli aróï
Tel père, tel fils.	Móngó akóli aróï
Il est possible	Arónda
il peut se faire que.	Arónda
il peut se faire que la bateau soit parti.	Arónda owatanga w'akèndagi
il est possible que nous nous revoyions dimanche prochain.	Arónda azwè be fe dyenana sónó móri
il est fort probable qu'il meure à Port-Gentil.	Arónda e be dyuwa go Mandji
place ta case ici, ou si tu préfères, place-la près de manguier.	Lowe nag'wó vènó, arónda ko kè dowa yo pyèrè n'oba wó
Pourquoi ?	Arónde
à quoi bon ?	Arónde
pourquoi parler ?	Arónde kamba
à quoi bon paler ?	Arónde kamba
ne vous donnez pas la peine d'aller au village voisin.	Arónde kèndani go nka móri
L'Estuaire du Gabon.	Aróngó
Nénuphars.	Arowo-rowo
Les poissons	Aruwè
Honte	Asaï
confusion.	Asaï
il est tout confus	Atigani n'asaï ma ṉawè
il est resté tout penaud.	tigani n'asaï ma ṉawè
Claquement des mains pour accompagner une danse.	Asako
claquer des mains.	Bola Asako
Indiscrétion	Asalè
curiosité.	Asalè
tu es indiscret.	O re asalè
tu es indiscret.	asalè ambe
Augure	Asandja
Augure tiré du vol de certains oiseaux	Asandja
tirer des augures.	Dyen'asandja
Présent	Asango
cadeau	Asango
cadeau de bienvenue	Asango
souvenir de voyage.	Asango
porter des présents à quelqu'un.	Twan'oma asango
quels cadeaux m'apportes-tu ?	Wag'asango m'abya n'awè ?
Tribu de la Haute-Ngouniè, apparentée aux Eshiras.	Asango
Tresses de cheveux.	Asara
tresser des cheveux.	Nogin'asara
Flirt	Asègó
tentative de séduction.	Asègó
flirter	Pin'asègó
essayer de séduire.	Pin'asègó
tous ces flirts sont à l'adresse de . . .	Asègó modu mi poswa kao gore...
Au loin	Asèï
de loin	Asèï
confusément.	Asèï
je t'ai vu de loin ; mais confusément:	My'adyen'ó n'asèï; mi 'sily'ó rèti
éviter quelqu'un dès qu'on l'aperçoit.	Fang'oma n'asèï
fuir quelqu'un dès qu'on l'aperçoit.	Fang'oma n'asèï
Tribu du Gabon	Asekyanî
Tribu du Gabon	Seke
sinuosités	Asètó
courbes	Asètó
détours	Asètó
méandres.	Asètó
le Rèmbo-Nkom̂i fait beaucoup de détours.	Orèmbó-Nkom̂i wi re asètó arevo
Regards lascifs	Asisè
œillades	Asisè
luxure.	Asisè
faire de l'œil	Fel'oma asisè
jeter des regards lascifs.	Fel'oma asisè
Arrivé à.	Asiwá
arrivé au pont, pas moyen de le traverser; tout le pont avait disparu sous l'eau.	Asiwa g'ikasa, landaṉo,zele mbora ikasa ṉodu ṉ'adôm̂ini
tu dis que tu sais parler français; mais quand il s'agit de parler à des européens,tu ne sais plus rien dire.	O buya nè ovoro kambe fala, asiwa go kamba n'itangani, banda...
Castagnettes formées de noyaux secs.	Asoko
agiter des castagnettes.	Sug'asoko
Echange de femmes.	Asukó
se prêter mutuellement des femmes.	Pagaṉ'asukó
se dépecher de	Asunge
se dépecher de	Asonge
je me suis dépêché de revenir quand j'ai vu qu'il allait pleuvoir.	My'asunge finya g'adyena myè ningo yi bele nóga
Vous venez d'arrivez à l'instant, et Vous avez déjà mangé?	Gotètèvènó g'abya nwè, anw'asunge ṉeni ?
Bourre	Asusa
étoupe	Asusa
filasse.	Asusa
calfater une pirrogue.	Kóm̂in'asuusa g'owaro
bourrer un fusil.	Pagine ndjali asusa
De bon cœur	Aswaswa
de bon gré.	Aswaswa
donner un objet de son plein gré.	Pa ezóm̂a n'aswaswa
C'est bien fait !	Asya !
C'est bien fait!	Asa !
c'est bien fait pour toi !	Asya ' om̂'adyeni !
tu n'as que ce que tu mérites.	Asya ' om̂'adyeni !
Détails	Atakwè
récit circonstancié.	Atakwè
les détails d'un procès.	Atakwè m'ozózó
exposer tous les détails.	Dyaruna atakwè modu
exposer tous les détails.	Takilya atakwè modu
des Blancs	Atanga
des Européens	Atanga
une chaise d'Europe.	Epwe z'atanga
des allumettes.	Ikoni s'atanga
un navire	Owatanga
un navire.	owaro w'atanga
une noix de coco	Om̂angatanga
une noix de coco	om̂anga w'atanga
Cinq.	Atani
cinq portes.	Aguge atani
cinquante dollars.	Agom̂i m'idólè atani
si	Ate
si	Ato
si	Atwa go
si tu n'étais pas venu, je serais allé ce matin à Ovendo.	Aza wè bya my'ate kènda ibanga sinó g'Ovendo
Tribu du Haut-Ogowè, de l'Alima et du Congo.	Atègè.
Rien	Atevwè
à vide	Atevwè
les mains vides.	Atevwè
je n'ai rien.	My'are atevwè
je n'ai plus rien.	My'atigani atevwè
Qu'as-tu pris quand tu es allé à la pêche? Rien.	G'apilondó go dówa, gogo sè? Atevwè.
Excréments.	Ati
aller à la selle	Sa ati
diarrhée	Ati apambe
Herbe grimpante à odeur forte	Ati-mi-mboni
Arbuste du rivage	Ati-mi-nkondo
Vert-de-gris.	Ati-mî-nkonga
Arrière d'un navire	Atina
Arrière d'une embarcation.	Atina
pagayer à l'arrière d'une pirogue.	Nuga atina ou Kota atina
gouverner l'arrière d'une pirogue.	Kwèr'atina
Eléphantiasis.	Atindi
avoir l'éléphantiasis.	Sum̂o n'atindi
avoir l'éléphantiasis.	Dyógó atindi
Parcelles de fer.	Atókó
le fer est prêt à être battu.	Om̂wanga w'asagi atókó
Nom de la planète Venus	Atónde-banga
Nom de la planète Venus	Atónde-nkolo
étoile du matin	Atónde-banga
Lucifer.	Atónde-banga
étoile du soir	Atónde-nkolo
Vesper	Atónde-nkolo
Surnom du gorille.	Atondo
Serpent venimeux d'eau douce.	Atuba-mweke
Herbe médicinale à pivot tubéreux	Atwa-pelè
de nouveau	Ave
de nouveau	Avo
encore	Ave
encore	Avo
Onanga a encore mangé ici hier soir.	Onanga ave ṉeni gunu dyao nkolo
ne bois plus.	Ave dyónga ṉènè
ne viens plus chez moi.	Ave bya gore myè
être au passé	Avegagî
j'étais à Ashouka.	My'avegagi g'Asuka
vous étiez au lac Ezanga.	Anw'avegagi g'eliwa z'Ezanga
Valeur	Avendè
: équivalent.	Avendè
tu me paieras la valeur de ma pirogue.	O be tawina myè idólè g'avendè m'owaro wam̂i
Depuis	Avila
à partir de.	Avila
de Lambaréné à Ndjolé.	Avila go Lambaréné agènda g'Indjole
à partir d'aujourd'hui.	Avila nènó
depuis ce temps-là	Avila vóvó
à partir de là.	Avila vóvó
Depuis que.	Avila
depuis votre départ, je ne me suis pas bien porté.	Avila g'agèndi nwè, m'pa dyen'okuwa mbyambye
depuis la mort du chef, je n'ai plus mis les pieds à Glass.	Avila g'ayuwi Oga, m'paîe bom̂wa g'Olamba
Après.	̶Avila
après moi, c'est toi qui partiras.	Avila myè, gambènè awè be kènda
après celui-là, il en viendra encore un autre.	Avila mèwóno om̂wènè e be îo bya
Puis	̶Avila
ensuite.	̶Avila
Tantôt.	̶Avila
il dit tantôt qu'il viendra, tantôt qu'il ne viendra pas.	E buya nè e bya, avila nè e be 'bya
On me dit tantôt de partir, tantôt de ne pas paitir, qu'est-ce que cela veut dire?	Avila nè mi ga gènde, avila nè my'agènda, igamba ṉi re sè ?
attends un peu	Avile
attends un peu avant de parler	Avile kamba
attendez un peu avant de parler.	avile kambani
ne vante pas un ocoumé avant d'être arrivé au pied.	Avile sum̂iny'okum̂e, lunge bom̂we go ntina
Les grands	Avolo
les puissants.	Avolo
les grands de ce inonde	Anag'avolo wi ntche
les personnages importants du pays	Anag'avolo wi ntche
Grand	avolo
gros	avolo
de grands enfants.	Awan'avolo
