bwakuna    casser la croûte
dok'iguge    frapper à la porte
doka g'iguge    frapper à la porte
doke nago    frapper à la porte
doka go nago    frapper à la porte
dokana    se donner des coups
dokane bole    se donner des coups de poing
dokane kólóndjó    se donner des taloches
dóka    ensorceler
dóka    jeter des sorts
móngi am̂emba wi dók'anaga    les sorciers jettent des sorts
dók'oma g'iṉa    jeter un sort dans la nourriture
rè-kadyè adóko    un tel a été empoisonné
nago y'adóko    la case est ensorcelée
ntȼaga y'adóko    la plantation est ensorcelée
dóka    nuire en paroles
dók'oma g'ewilo zè    faire perdre à quelqu'un sa place par malveillance
dóka    se moquer de
dóka    tourner en ridicule
dóka    narguer
dók'onèró wi ngani    se moquer d'un pauvre vieux
dókîlya    approuver de la tête
dókîlya    hocher la tête
dókîlya    faire une révérence
wi dókilya go kamba myè    ils approuvent de la tête quand je parle
e dókilya go mègondè    il hoche la tête en sommeillant
dókilye ngóri    incliner la tête
dókilye ngóri    saluer de la tête
dókilye ngóri    dodeliner de la tête
dókîlya    basculer
epwe zi dókilya    la chaise bascule
epwe zi dókilya    la chaise oscille
dókólya    faire des niches
dókóly'oma    faire des niches à quelqu'un
dókóly'oma ngóri    pousser la tête de quelqu'un par derrière pour le taquiner
dóla    recueillir du miel
dól'onèmbè    recueillir du miel
