aa    Oui
Ofula na ?    qui demander ?
Ofula buni ?    comment demander ?
Ofula ima ?    quoi demander ?
Ola    village
O la    chez
Ola na ?    chez qui ?
Ola bwo ?    chez eux ?
Ola diè ?    chez lui ?
Ola diè    chez lui (affirmation)
Olièlè    aigle
Oluia    remplir
Olaon    jupe
Oma yila    depuis
Oma yila    cela a duré longtemps
Onkana    livre
Onké wu bia    laideron
Onkuru    robe
Onkuru    chemise
Ondièlè    Blanc
Ondièlè    Indièlè: Blancs
Ondzia    étranger
Onsio    sel
Onsion    termitière
On-suari    mouchoir
On-suo    ver de terre
On-suo    ténia
On-suo    douve
On-suo    lombrics
On-suo    ver à soie
On-suo    etc
Ontsuë    maux de tête
Onviè    beauté
Onviè    beau
Onviè    belle
Opèdalè    pédaler
Opfuna    chiendent
Opha, edzio    après
Opha, edzio    plus tard
Opha mè table    débarrasse la table après
Opha ya    viens après
Opha woli kiè    prends-le ou la après (objet ou chose)
Opha dzio kiè    enterre-le ou la après (homme ou femme)
Opfi    court
Opina    noir
Opina    noirceur
Ordinatère    ordinateur
Otsa    sajson sèche
Otsaotsa    n'importe comment
Otsion    regretter
Otsoo    provoeation
Otsoo    provoquer
Otsuèle    bec
Otsuli    forgeron
Otuè pari    faire souffrir
Otuè pari    punir
Oviai    beauté
Oviai    charme
Oviè    gentillesse
Oviè    générosité
Oviè si    faire
Oviè si    exécuter une tâche
Oviè owuè    merci
Oyila okia    lendemain
Oyo    accueil
Pala    branche
Paraplui    parapluie
Pari    souffrance
Parfûn    parfum
Pédale    pédale
Plantè    plante
Perokè    perroquet
Péruke    perruque
Péruke    postiche de faux cheveux
Pi    noir(e)
Pii    calme
Pile    pile
Piin    blanc
Pio    noir
Pomadè    pommade
Pompè    pompe
Présidan    président
Puala    poêle
Puagné    poignet
Puarè    poire
Pubelè    poubelle
Pudre    poudre
Puon    huit
Puossi    poche
Pül    pull-over ou pull
Pül    tricot
Pulissi    police
Radio    radio
Révolution    Révolution
Rido    rideau
Robe    robe
Robo    robot
Sa ayièlè    fais attention
Sa ayièlè    sois malin
Saduka    valise
Saladè    salade
Salassa    gentillesse
Salassa    générosité
Salon    salon
Sani    assiette
Saon ba kui    culte des ancêtres
Sardine    sardine
Savuoni    savon
Seï    toiture
Séo    dors
Séo    dormir
Séo ya diè    aie des rapports sexuels avec lui ou avec elle
Servieti    serviette
Shuè    abcès
Sitade    stade
So    sceau
Sossisson    saucisson
Sua-nuru    bain
Sua-nuru    action de purification de son corps
Sua-nuru    se purifier
Sukali    sucre
Sukali    sucré(e)
Ta !    attention
Ta !    méfie-toi !
Ta diè    regarde-le ou la !
Ta ossoon    cause
Ta ossoon    converse (avec moi)
Taali    serpent
Table    table
Tablo    tableau
Tala    regarde
Tala yulu    regarde le ciel
Tali    cher
Tapi    tapis
Tara    Père
Tassi    tasse
Tassi    tache
Té    thé
Téléfone    téléphone
Télévision    télévision
Ténissi    tennis
Tenü    tenue
Tièrè    bon
Tiéri    trois
Tina    antennes du diable
Tini    course à pied
Tion vio odza    mâche tes aliments
Tiono    lève-toi !
Tirè    produit embellissant pour les lèvres
Triko    tricot
Tomatè    tomate
Too    fesse (s)
Tsali    lac
Tséakuo    poignet
T'siètsiè    salon
Tsitse    propre
Tsio    champ agricole
Tsoo    manioc
Tsotso    hanches
Tson a tson    bien avant
Tsou    jour
Tsou    journée
Tsuï    lune
Tsuï    poisson
Tsuili    vipère
Tswa    vite
Tswa-tswa    rapidement
Tualète    toilette
Tulu    toux
Tulu yi onto    bronchite
Tulu yi onto    camion
Tumaviri    voiture
Tumaviri    automobile
Lumbu    aiguille
Tulu oto    tuberculose
Tuolo    sommeil
Ubia    très mauvais (goût)
Ubi    mauvais (goût)
Ufula    renseignement
Ukali    adultère
Ukana dzaon    bible
Ukaon    fièvre
Ukéo    accepter
Ula    long
Ula    très long
Umbé    cru
Umbi    mauvais (comportement, attitude)
Umpfili    veuf
Umpfili    veuve
Umpfu    diable
Umpfu    satan
Ungua    sel
Unsina    racine
Unuan    bouche
Unuan dzwo    porte d'entrée
Unlon    mari
Untsuë    tête
Untsuë    maux de tête
Unkuon    nombril
Unkuolo    coeur
Unsavoca    avocatier
Usena    prendre rendez-vous
Unsia    ficelle
Unkana    lettre
Unkana    papier
Uta    se réconcilier
Utsoo    provocation
Valissi    valise
Vantilatère    ventilateur
Vaze    vase
Vélo    vélo
Vèrè    verre
Verni    vernis
Véssèlè    vaisselle
Vinègre    vinaigre
Vote    vote
Vuature    voiture
Wa    neuf
Wa mè kuo    aide-moi
Wa diè kuo    aide-le ou la
Wa mè ilo kian    donne-moi cette chose-là
Wao!    cri de joie et d'étonnement marqué d'admiration
Wa tio ilo    commerçant
Wè    tu
Wè    te toi
Wè na?    Qui es-tu ?
Ya    viens
Ya ya diè    viens avec lui ou elle
Ya ya bwo    viens avec eux
Yao !    attention
Yao ofula diè    ne le lui demande pas
Yao obéa    ne refuse pas
Yula    sur
